"Nome do negócio";"Tipo";"Fase";"Responsável";"Criado";"Jornada do cliente";"Client Id B242GA";"Cargo";"Usuário";"Data de inicio";"Tipo de Negócio";"Seguimento";"Sobre CRM assinale uma opção:";"Empresa";"Descrição do Follow up 1";"Descrição do Follow up 2";"Descrição Follow up 3";"Descrição Follow up 4";"Descrição Follow up 5";"Temperatura da Proposta Follow 1";"Temperatura da Proposta Follow 2";"Temperatura da Proposta Follow 3";"Temperatura da Proposta Follow 4";"Temperatura da Proposta Follow 5";"ID";
"Negocialipse + Renovação projeto treinamento";"Vendas";"Conectado";"Fabiano Silva";"16/04/2026 08:34:21";"";"";"";"";"";"";"";"";"PetCamp";"";"";"";"";"";"";"";"";"";"";"26139";
"Preencher formulário de CRM ""LP treinamento Comercial""";"Vendas";"Contato";"Rafael Bortoloso";"15/04/2026 21:56:47";"";"";"";"";"";"";"";"";"Grupo Viamar ";"";"";"";"";"";"";"";"";"";"";"26137";
"FIEMT- Palestra Karen 200 lideres";"Vendas";"Proposta";"Rafael Bortoloso";"14/04/2026 15:55:25";"";"";"";"";"";"";"";"";"Fiemt - Federação das Indústrias no Estado de Mato Grosso";"";"";"";"";"";"";"";"";"";"";"26015";
"Vendas Consultivas 16h";"Vendas";"Reunião";"Rafael Bortoloso";"13/04/2026 10:06:53";"";"";"";"";"";"";"";"";"Bandeirantes Deicmar";"";"";"";"";"";"";"";"";"";"";"26007";
"SICREDI OURO VERDE MT";"Vendas";"Proposta";"Rafael Bortoloso";"07/04/2026 14:33:16";"";"";"";"";"";"";"";"";"SICREDI OURO VERDE MT";"";"";"";"";"";"";"";"";"";"";"25975";
"Cresol Conexão Medianeira";"Vendas";"Follow UP 1";"Rafael Bortoloso";"07/04/2026 13:00:54";"";"";"";"";"";"";"";"";"Cresol Conexão Medianeira";"Estao analisando a proposta conforme necessidade de turmas. Ficaram de responder essa semana ainda";"";"";"";"";"Morno";"";"";"";"";"25971";
"Sicredi Biomas";"Vendas";"Follow UP 1";"Rafael Bortoloso";"02/04/2026 14:04:20";"";"";"";"";"";"";"";"";"SICREDI BIOMAS  MT/AC";"Karina está validando as datas e vai me dar um retorno essa semana ainda";"";"";"";"";"Quente";"";"";"";"";"25939";
"Workshop 2h Personalizado 400 líderes";"Vendas";"Proposta";"Rafael Bortoloso";"01/04/2026 14:53:35";"";"";"";"";"";"";"";"";"Cooperativa Central de Crédito - AILOS";"";"";"";"";"";"";"";"";"";"";"25933";
"Palestra Marcelo Caetano";"Vendas";"Reunião";"Eryclys Freire";"27/03/2026 15:49:43";"";"";"";"";"";"";"";"";"F. Confuorto Ind. Com. de Peças e Acess.";"";"";"";"";"";"";"";"";"";"";"25445";
"Diagnóstico Comercial";"Vendas";"Follow UP 1";"Fabiano Silva";"26/03/2026 22:44:49";"";"";"";"";"";"";"";"";"Megawhip Chicotes Elétricos";"Prezados, boa tarde. Agradeço e confirmo o recebimento da proposta de diagnotico. Compartilhei com a diretoria todas as informações e estamos estudando sobre o assunto. Retorno assim que possível. Informo também, que o Thiago não faz mais parte da nossa equipe. Atenciosamente,";"";"";"";"";"Morno";"";"";"";"";"25427";
"Diagnóstico Comerical - Ipanema Rolamentos";"Vendas";"Follow UP 1";"Eryclys Freire";"23/03/2026 13:24:39";"";"";"";"";"";"";"";"";"Ipanema Rolamentos";"Entrei em contato com o Leonardo e ele me deu a seguinte resposta: Eryclys bom dia, fechamos um primeiro tri fraco e a incerteza do restante do ano fez com que a diretoria segurasse qualquer tipo de nova despesa não aprovada no budget... então vamos paralizar a evolução do projeto, tentar algo caseiro até definir esse ano melhor, eleição etx não fechamos com ninguém, gostamos e temos a intenção com a VendaMais, porém decidiram cautela em um cenário de incerteza. Conversei com ele por telefone e ele abriu que não conseguiu defender a proposta como deveria para os donos da empresa e que o Consultor Celso que era o seu principal influenciador para convencer os donos em relação ao projeto cedeu as justificativas e fatores externos colocados pelos donos da empresa. Solicitou minha ajuda apresentarmos uma proposta que traga mais segurança para eles. Pedi mais informações para ele em relação a margem de rentabilidade e faturamento para pensamos em outro estilo de proposta.";"";"";"";"";"Frio";"";"";"";"";"25287";
"Diagnóstico Comercial - Karsten";"Vendas";"Reunião";"Eryclys Freire";"19/03/2026 17:00:30";"";"";"";"";"";"";"";"";"Karsten S.A";"";"";"";"";"";"";"";"";"";"";"25267";
