"Nome do negócio";"Tipo";"Fase";"Responsável";"Criado";"Jornada do cliente";"Client Id B242GA";"Cargo";"Usuário";"Data de inicio";"Tipo de Negócio";"Seguimento";"Sobre CRM assinale uma opção:";"Empresa";"Descrição do Follow up 1";"Descrição do Follow up 2";"Descrição Follow up 3";"Descrição Follow up 4";"Descrição Follow up 5";"Temperatura da Proposta Follow 1";"Temperatura da Proposta Follow 2";"Temperatura da Proposta Follow 3";"Temperatura da Proposta Follow 4";"Temperatura da Proposta Follow 5";"ID";
"Preencher formulário de CRM ""LP treinamento Comercial ads""";"Vendas";"Oportunidade";"Bitrix 24";"24/02/2026 09:12:58";"";"";"";"";"";"";"";"";"Grupo Motormac";"";"";"";"";"";"";"";"";"";"";"25079";
"Aceleração Comercial -  Axc Constructora";"Vendas";"Conectado";"Eryclys Freire";"24/02/2026 08:36:37";"";"";"";"";"";"";"";"";"Axc Constructora";"";"";"";"";"";"";"";"";"";"";"25077";
"Preencher formulário de CRM ""LP Consultoria \vm ads""";"Vendas";"Contato";"Eryclys Freire";"23/02/2026 16:45:08";"";"";"";"";"";"";"";"";"AUDI AIR CENTER";"";"";"";"";"";"";"";"";"";"";"25073";
"Prospecção Quaker";"Vendas";"Reunião";"João Victor";"23/02/2026 15:26:14";"";"";"";"";"";"";"";"";"Quaker Chemical Ltda";"";"";"";"";"";"";"";"";"";"";"25071";
"Preencher formulário de CRM ""Formulário vendamais.com.br""";"Vendas";"Conectado";"Rafael Bortoloso";"20/02/2026 14:35:16";"";"";"";"";"";"";"";"";"Grupo Servopa";"";"";"";"";"";"";"";"";"";"";"25063";
"Preencher formulário de CRM ""LP treinamento Comercial ads""";"Vendas";"Conectado";"João Victor";"19/02/2026 13:56:42";"";"";"";"";"";"";"";"";"Credimorar";"";"";"";"";"";"";"";"";"";"";"25021";
"Aurora";"Vendas";"Proposta";"Rafael Bortoloso";"19/02/2026 12:21:02";"";"";"";"";"";"";"";"";"Aurora Coop";"";"";"";"";"";"";"";"";"";"";"25019";
"Buriti Empreendimentos - Treinamento Pós-Venda";"Vendas";"Proposta";"João Victor";"13/02/2026 15:42:54";"";"";"";"";"";"";"";"";"Buriti Empreendimentos";"";"";"";"";"";"";"";"";"";"";"25001";
"CIEE - Revenda";"Vendas";"Follow UP 1";"João Victor";"13/02/2026 11:04:41";"";"";"";"";"";"";"";"";"CIEE - Centro de Integração Empresa-Escola";"Jéssica informou que encaminhou a proposta para sua supervisão e está aguardando retorno para saber os próximos passos";"";"";"";"";"Quente";"";"";"";"";"24997";
"TIGRE - Projeto Jeito de Vender Tigre";"Vendas";"Proposta";"João Victor";"12/02/2026 13:00:52";"";"";"";"";"";"";"";"";"TIGRE";"";"";"";"";"";"";"";"";"";"";"24989";
